coast_dist,neighbors_stay,age,friends_suggest_evac,neighbors_evac,risk_of_stay,no_stay_notice,no_evac_notice,social_media_storm_damage,is_white,difficulty_no_place,house_brick,difficulty_elders,tv_radio_road_traffic,wind_risk_to_property,wind_risk_to_safety,tv_radio_storm_damage,social_media_people_leave,friends_suggest_stay,tv_radio_casualty,flood_risk_to_property,has_children,social_media_road_traffic,tv_radio_preparation,is_owner,social_media_people_stay,has_insurance,househd_size,evac_decision
0,1,3,1,0,2,0,1,4.0,1,0,1,0,0.0,3,2,0.0,3.0,0,0.0,2,0,4.0,0.0,0,3.0,0,2,0
3,0,2,0,1,3,1,0,1.0,0,0,1,0,1.0,3,4,2.0,3.0,1,1.0,4,1,1.0,2.0,0,3.0,0,3,1
4,1,1,1,0,2,0,1,4.0,0,0,1,0,3.0,1,1,2.0,4.0,0,2.0,2,0,5.0,4.0,0,4.0,0,2,0
2,1,1,0,0,5,0,1,5.0,1,0,1,0,5.0,5,5,5.0,3.0,1,5.0,3,1,5.0,5.0,1,5.0,1,3,0
5,1,1,0,0,1,0,1,0.0,1,0,0,0,5.0,1,1,5.0,0.0,1,5.0,1,0,0.0,1.0,0,0.0,1,1,0
3,1,4,0,0,2,1,1,3.0,1,0,0,0,4.0,2,2,5.0,2.0,1,5.0,2,0,3.0,4.0,1,2.0,1,2,0
4,1,3,0,0,5,0,1,5.0,0,0,1,0,5.0,1,1,5.0,5.0,1,5.0,5,0,5.0,5.0,0,5.0,0,2,1
5,0,2,1,1,4,1,0,3.0,0,1,0,1,3.0,3,3,4.0,3.0,0,3.0,4,1,3.0,3.0,0,2.0,1,3,1
5,1,4,0,0,2,1,1,4.0,1,1,0,0,4.0,4,3,4.0,4.0,0,3.0,5,0,4.0,5.0,1,4.0,1,2,0
5,1,2,0,0,3,1,1,5.0,1,0,1,0,5.0,3,3,5.0,3.0,1,3.0,3,1,4.0,4.0,1,3.0,1,3,0
2,0,2,0,1,4,1,1,4.0,1,1,1,0,4.0,4,4,4.0,4.0,1,4.0,4,1,4.0,4.0,0,4.0,0,3,0
5,1,2,0,0,4,0,1,3.0,1,1,0,0,3.0,3,3,2.0,4.0,1,2.0,5,0,4.0,4.0,0,3.0,1,2,0
3,1,3,0,0,3,1,0,5.0,1,0,1,0,4.0,2,2,5.0,4.0,1,5.0,4,0,4.0,5.0,0,4.0,0,2,0
2,1,1,1,0,5,0,1,4.0,0,1,1,0,4.0,4,5,5.0,4.0,0,2.0,1,0,2.0,4.0,0,4.0,0,1,1
5,0,2,1,1,4,1,1,4.0,1,0,0,0,4.0,4,4,4.0,4.0,0,4.0,4,0,4.0,4.0,1,4.0,1,3,0
4,1,3,0,0,3,0,1,4.0,1,0,1,0,4.0,1,2,3.0,3.0,0,3.0,3,0,4.0,3.0,0,3.0,1,2,0
3,0,1,1,1,2,1,1,5.0,1,0,1,0,5.0,2,2,5.0,5.0,0,3.0,2,0,5.0,5.0,0,3.0,1,1,1
5,1,2,0,0,2,0,1,5.0,1,0,1,0,5.0,3,2,5.0,5.0,1,2.0,3,1,5.0,5.0,1,2.0,1,2,0
1,1,2,0,0,3,1,1,0.0,0,0,0,0,2.0,3,3,5.0,0.0,0,1.0,3,1,0.0,5.0,1,0.0,0,3,0
1,1,5,1,0,3,1,1,2.0,1,0,0,0,4.0,4,3,2.0,2.0,0,1.0,2,0,2.0,4.0,1,1.0,1,2,0
2,1,2,1,0,5,1,0,5.0,1,0,1,0,3.0,3,3,4.0,4.0,0,2.0,5,1,5.0,5.0,0,4.0,0,2,0
4,1,2,0,0,5,0,1,4.0,1,0,1,0,4.0,4,3,3.0,3.0,1,1.0,5,1,4.0,4.0,1,3.0,0,3,0
2,1,3,0,0,2,1,0,3.0,0,1,1,0,5.0,3,2,4.0,3.0,1,2.0,5,1,3.0,2.0,1,3.0,1,2,0
4,1,1,1,0,5,0,0,5.0,0,0,0,0,5.0,3,3,4.0,4.0,0,3.0,5,0,5.0,4.0,0,3.0,1,2,0
4,1,1,1,0,2,1,1,0.0,1,0,1,0,5.0,1,1,5.0,0.0,0,3.0,4,0,0.0,4.0,0,0.0,0,2,1
4,1,1,1,0,4,1,0,5.0,0,0,1,0,4.0,5,5,2.0,3.0,0,2.0,5,0,5.0,5.0,0,3.0,0,2,1
3,1,2,0,0,3,0,0,2.0,1,0,1,0,4.0,4,4,2.0,5.0,1,2.0,5,1,5.0,5.0,0,5.0,0,3,0
4,0,2,1,1,4,1,0,3.0,0,1,1,1,4.0,4,4,4.0,3.0,0,3.0,4,1,4.0,4.0,0,2.0,0,3,1
3,1,2,0,0,2,0,1,3.0,1,0,1,0,3.0,2,2,2.0,3.0,1,2.0,3,1,3.0,4.0,1,1.0,1,3,0
5,1,2,0,0,3,0,1,2.0,0,0,1,0,4.0,2,2,3.0,2.0,1,3.0,2,0,2.0,1.0,1,2.0,0,2,0
5,0,1,0,0,2,0,1,3.0,0,1,1,0,2.0,3,3,3.0,2.0,0,1.0,3,0,3.0,2.0,0,2.0,0,2,0
4,1,1,1,0,5,0,0,5.0,1,0,1,1,5.0,3,3,5.0,3.0,0,3.0,5,1,5.0,5.0,1,1.0,1,3,1
5,0,1,0,0,4,0,1,0.0,1,0,1,0,2.0,1,1,3.0,0.0,0,3.0,1,0,0.0,3.0,1,0.0,0,1,0
3,1,2,0,0,5,0,1,1.0,0,1,1,0,4.0,5,5,4.0,2.0,1,4.0,5,1,3.0,4.0,0,5.0,0,3,0
3,1,2,0,0,2,0,1,0.0,0,0,1,0,4.0,1,1,5.0,0.0,0,1.0,2,0,0.0,5.0,0,0.0,1,3,0
5,1,1,0,0,3,0,0,5.0,0,1,0,0,5.0,5,3,5.0,3.0,1,4.0,4,0,5.0,3.0,1,2.0,0,3,0
3,1,4,0,0,1,0,1,0.0,0,0,0,0,5.0,2,2,5.0,0.0,1,3.0,2,0,0.0,5.0,1,0.0,1,3,0
1,1,1,0,0,3,0,0,4.0,0,1,1,0,4.0,4,4,4.0,5.0,0,4.0,4,1,4.0,4.0,0,3.0,0,2,0
3,1,1,0,0,3,0,1,4.0,0,0,1,0,5.0,4,4,4.0,4.0,1,2.0,1,1,5.0,5.0,1,2.0,1,2,0
3,1,1,1,0,4,0,1,3.0,1,1,1,1,4.0,2,2,2.0,3.0,0,2.0,5,1,2.0,2.0,0,3.0,1,3,0
5,1,4,0,0,5,0,1,2.0,1,0,0,0,3.0,5,5,4.0,2.0,1,4.0,3,0,2.0,3.0,1,3.0,1,1,0
2,0,2,1,1,5,1,0,4.0,1,0,1,0,5.0,5,5,5.0,5.0,0,3.0,5,1,5.0,5.0,1,4.0,1,3,1
5,0,1,0,1,3,1,1,0.0,0,0,1,0,4.0,2,2,3.0,0.0,1,4.0,2,0,0.0,4.0,1,0.0,1,3,1
2,1,2,0,0,2,0,1,0.0,1,0,0,0,4.0,2,2,4.0,0.0,1,2.0,2,0,0.0,3.0,1,0.0,0,3,0
4,1,1,0,0,2,0,1,5.0,1,1,0,0,5.0,3,3,5.0,5.0,1,5.0,3,1,5.0,2.0,0,4.0,1,2,0
3,1,3,0,0,2,0,1,5.0,1,1,1,0,5.0,2,2,5.0,5.0,1,5.0,4,0,5.0,5.0,0,5.0,1,1,0
4,1,1,1,0,3,0,1,5.0,1,1,1,0,4.0,3,3,4.0,5.0,0,2.0,3,1,5.0,4.0,0,5.0,1,2,0
5,1,1,0,0,2,0,1,5.0,0,0,1,0,4.0,4,5,5.0,1.0,1,2.0,4,1,4.0,3.0,1,4.0,1,3,0
3,1,1,0,0,5,0,0,0.0,0,0,1,0,5.0,5,5,3.0,0.0,1,3.0,5,1,0.0,5.0,1,0.0,1,2,0
0,0,1,0,1,3,0,0,2.0,0,0,0,0,4.0,3,4,2.0,2.0,1,2.0,4,1,3.0,4.0,1,2.0,0,3,0
2,1,2,0,0,2,0,1,3.0,1,1,0,0,4.0,3,3,3.0,3.0,1,3.0,4,0,3.0,4.0,1,3.0,1,2,0
3,1,3,0,0,5,0,1,0.0,1,0,1,0,5.0,2,2,2.0,0.0,1,1.0,5,1,0.0,5.0,0,0.0,1,2,1
4,1,1,1,0,4,0,1,5.0,0,0,1,0,5.0,4,4,5.0,5.0,0,5.0,5,0,5.0,5.0,0,5.0,1,2,0
2,0,4,1,1,5,0,0,0.0,1,1,1,0,4.0,5,4,3.0,0.0,0,2.0,5,0,0.0,4.0,1,0.0,0,2,1
4,0,2,1,1,3,0,1,0.0,1,0,1,0,5.0,2,2,4.0,0.0,0,4.0,2,1,0.0,3.0,0,0.0,0,2,1
0,1,1,0,0,5,1,0,5.0,0,0,1,0,5.0,3,3,5.0,2.0,1,5.0,5,0,5.0,5.0,1,5.0,1,2,1
4,1,2,0,0,3,0,1,5.0,1,0,1,1,5.0,4,2,5.0,3.0,0,5.0,4,1,4.0,5.0,0,3.0,0,3,0
2,1,1,0,0,5,1,1,0.0,0,1,1,1,3.0,1,1,3.0,0.0,1,3.0,5,0,0.0,1.0,0,0.0,0,3,0
5,1,3,1,0,4,0,1,5.0,1,1,1,0,4.0,2,2,5.0,5.0,0,4.0,5,0,5.0,5.0,1,4.0,1,2,0
1,0,1,0,0,1,0,0,0.0,1,0,0,0,0.0,1,1,0.0,0.0,1,0.0,1,0,0.0,0.0,0,0.0,0,3,0
5,0,5,1,0,5,0,1,5.0,0,0,1,0,5.0,5,5,5.0,4.0,0,5.0,5,0,5.0,5.0,0,4.0,0,2,0
5,0,1,1,1,5,0,0,4.0,0,0,1,0,5.0,3,3,4.0,4.0,0,4.0,5,0,5.0,3.0,1,4.0,1,3,1
5,1,1,0,0,2,0,1,1.0,1,1,1,0,2.0,3,2,1.0,2.0,1,2.0,3,0,2.0,2.0,0,4.0,1,2,0
4,1,3,0,0,3,0,1,0.0,1,0,0,0,1.0,2,2,4.0,0.0,1,3.0,3,1,0.0,4.0,1,0.0,1,3,0
5,1,1,0,0,3,0,1,4.0,1,0,0,0,4.0,5,4,3.0,4.0,1,1.0,5,0,5.0,5.0,0,3.0,0,2,0
4,1,3,0,0,4,0,1,4.0,0,0,1,1,5.0,5,5,4.0,5.0,1,5.0,2,1,5.0,5.0,1,5.0,1,3,0
2,0,1,1,1,5,1,0,0.0,0,1,1,0,3.0,5,5,1.0,0.0,0,1.0,5,1,0.0,5.0,1,0.0,1,3,1
3,0,2,1,1,5,0,1,5.0,0,0,1,0,3.0,3,3,5.0,3.0,0,5.0,5,1,5.0,3.0,0,3.0,0,2,1
2,1,3,0,0,3,1,1,3.0,1,1,1,0,5.0,2,2,5.0,2.0,1,5.0,5,1,3.0,5.0,1,2.0,1,3,0
0,0,2,1,1,5,1,0,5.0,1,0,1,0,5.0,5,5,4.0,5.0,0,1.0,5,1,5.0,5.0,1,4.0,0,2,1
3,0,3,1,1,4,1,0,4.0,0,1,0,0,4.0,4,4,4.0,4.0,0,4.0,4,1,4.0,4.0,0,4.0,1,3,1
3,0,3,1,1,4,1,0,5.0,1,0,0,0,4.0,5,4,5.0,5.0,0,1.0,5,0,5.0,5.0,1,5.0,1,2,0
3,1,1,1,0,3,0,1,2.0,1,0,1,0,0.0,3,3,0.0,4.0,0,0.0,5,0,3.0,0.0,0,2.0,0,2,1
5,0,1,0,0,2,0,0,0.0,1,1,1,0,4.0,1,1,3.0,0.0,1,2.0,3,0,0.0,3.0,1,0.0,0,2,0
2,1,1,0,0,4,0,0,0.0,1,1,1,0,4.0,5,4,4.0,0.0,1,2.0,4,0,0.0,5.0,1,0.0,1,2,0
4,1,2,0,0,5,0,1,0.0,1,0,1,0,2.0,5,5,2.0,0.0,1,2.0,5,0,0.0,5.0,1,0.0,1,2,1
5,0,1,0,0,1,0,1,5.0,1,1,1,0,5.0,3,3,5.0,2.0,0,2.0,1,0,2.0,3.0,1,2.0,1,2,0
2,0,2,1,0,3,0,1,4.0,0,0,1,0,4.0,3,3,4.0,4.0,0,4.0,3,1,4.0,4.0,1,3.0,1,3,0
4,1,1,0,0,2,0,1,3.0,0,0,1,0,4.0,3,3,4.0,2.0,1,3.0,4,0,4.0,5.0,1,3.0,1,1,0
1,1,5,0,0,4,1,1,5.0,1,0,1,0,4.0,4,4,5.0,5.0,1,3.0,5,0,5.0,4.0,1,5.0,1,2,0
3,1,2,0,0,2,0,1,5.0,1,0,0,0,4.0,3,3,5.0,3.0,1,3.0,3,1,3.0,5.0,1,4.0,1,3,0
4,1,3,0,0,3,1,1,4.0,1,0,1,0,3.0,3,2,1.0,3.0,0,1.0,4,0,5.0,5.0,0,4.0,1,1,0
5,0,2,1,1,3,1,1,4.0,0,1,0,0,1.0,3,3,1.0,4.0,0,1.0,3,1,4.0,1.0,0,4.0,0,2,0
3,1,1,0,0,4,1,0,5.0,1,1,1,0,2.0,4,4,4.0,5.0,0,5.0,4,1,3.0,4.0,1,5.0,1,2,1
1,1,2,0,0,5,0,0,5.0,0,0,1,1,5.0,5,5,5.0,2.0,1,5.0,5,0,5.0,2.0,1,5.0,1,2,0
3,1,1,1,0,4,1,0,5.0,1,1,1,0,5.0,4,4,4.0,3.0,0,2.0,4,0,4.0,3.0,0,3.0,1,1,0
5,0,2,1,1,4,0,0,3.0,0,0,1,0,5.0,3,2,4.0,4.0,0,4.0,4,1,4.0,3.0,1,2.0,1,3,0
5,1,2,0,0,2,0,1,0.0,1,1,0,0,3.0,2,2,2.0,0.0,1,1.0,1,1,0.0,2.0,1,0.0,0,3,0
5,0,3,0,1,3,0,1,4.0,1,1,1,0,5.0,4,4,3.0,5.0,0,5.0,5,0,5.0,2.0,0,3.0,1,3,0
3,1,2,1,0,3,0,1,5.0,1,0,1,0,4.0,4,3,5.0,3.0,0,4.0,3,1,4.0,3.0,0,2.0,1,3,0
5,1,3,0,0,3,0,1,1.0,1,0,0,0,2.0,2,2,2.0,1.0,0,1.0,2,0,1.0,1.0,0,1.0,0,2,0
2,0,2,1,1,4,1,0,4.0,1,0,1,0,4.0,4,3,3.0,4.0,0,2.0,4,1,3.0,4.0,1,3.0,1,3,1
3,1,5,0,0,4,0,1,3.0,1,0,1,0,3.0,2,2,3.0,3.0,1,3.0,4,0,3.0,4.0,0,3.0,0,2,0
2,1,1,0,0,3,1,0,4.0,1,0,1,0,4.0,4,4,4.0,5.0,1,4.0,5,1,4.0,4.0,1,3.0,1,2,1
2,0,2,1,1,4,0,1,4.0,1,1,0,0,4.0,2,4,4.0,3.0,0,4.0,3,1,3.0,4.0,1,4.0,1,2,0
2,0,1,1,1,5,1,0,3.0,0,0,0,0,2.0,3,5,4.0,5.0,0,1.0,3,1,3.0,4.0,1,5.0,0,3,1
5,0,1,0,0,4,0,0,4.0,0,0,1,0,4.0,5,5,4.0,3.0,0,3.0,5,1,4.0,4.0,1,3.0,0,3,0
3,1,3,0,0,2,0,1,4.0,0,0,0,0,5.0,3,3,5.0,2.0,1,5.0,4,0,4.0,1.0,1,2.0,1,3,0
4,1,1,0,0,2,0,0,0.0,1,1,1,0,4.0,2,3,2.0,0.0,1,1.0,2,1,0.0,4.0,1,0.0,0,3,0
5,0,1,0,0,1,1,1,3.0,0,0,1,0,3.0,1,1,3.0,3.0,0,1.0,1,1,3.0,3.0,0,3.0,1,2,0
5,1,3,0,0,1,1,1,3.0,1,1,1,1,3.0,2,2,3.0,2.0,1,2.0,2,1,3.0,3.0,1,3.0,1,3,0
3,1,1,0,0,1,0,1,5.0,0,0,0,1,5.0,2,1,4.0,3.0,1,3.0,1,0,5.0,5.0,0,2.0,1,3,0
2,1,1,0,0,3,0,1,3.0,1,0,1,0,3.0,1,2,4.0,2.0,1,2.0,2,0,3.0,2.0,1,4.0,1,3,0
4,1,4,1,0,4,1,1,3.0,1,0,1,0,4.0,4,4,5.0,4.0,0,1.0,4,0,2.0,5.0,1,4.0,1,2,0
5,1,1,0,0,3,0,1,4.0,1,1,1,0,4.0,3,3,4.0,3.0,1,3.0,4,0,3.0,3.0,0,2.0,1,2,0
2,1,4,1,0,5,0,1,2.0,0,0,1,0,4.0,5,5,5.0,2.0,0,3.0,5,0,2.0,5.0,1,2.0,1,2,0
5,1,2,0,0,5,1,1,0.0,1,1,1,0,4.0,2,3,4.0,0.0,1,3.0,2,0,0.0,4.0,0,0.0,1,2,0
4,0,2,0,0,4,0,1,0.0,0,0,1,0,4.0,3,3,4.0,0.0,0,1.0,4,0,0.0,5.0,0,0.0,0,1,0
5,0,3,0,0,3,1,0,3.0,0,0,1,0,3.0,3,4,4.0,2.0,1,4.0,3,1,3.0,2.0,1,2.0,0,3,1
5,1,3,0,0,5,0,1,0.0,1,1,1,0,4.0,4,4,3.0,0.0,1,3.0,2,1,0.0,4.0,0,0.0,0,3,0
4,0,1,1,0,4,0,0,0.0,1,1,0,1,4.0,5,5,4.0,0.0,0,4.0,5,1,0.0,4.0,1,0.0,0,3,0
3,1,2,0,0,3,1,1,2.0,1,0,1,0,4.0,2,2,2.0,3.0,1,2.0,4,1,4.0,4.0,1,4.0,1,3,0
3,1,1,1,0,4,1,1,5.0,1,0,1,0,4.0,4,5,4.0,5.0,0,3.0,3,0,5.0,5.0,0,4.0,1,2,0
5,0,2,0,0,5,0,0,4.0,0,1,0,0,4.0,5,5,5.0,2.0,1,2.0,5,0,2.0,4.0,1,2.0,1,1,0
2,0,2,1,1,5,1,0,0.0,0,0,1,0,3.0,2,2,2.0,0.0,0,2.0,4,0,0.0,5.0,0,0.0,0,2,1
3,0,1,1,1,4,1,0,5.0,0,0,1,0,4.0,3,5,3.0,5.0,0,2.0,3,0,5.0,4.0,1,4.0,1,2,1
5,1,1,1,0,3,0,0,5.0,1,0,0,0,0.0,3,3,0.0,3.0,0,0.0,5,1,4.0,0.0,1,3.0,1,2,0
5,1,2,0,0,4,0,1,0.0,1,0,1,0,5.0,2,4,5.0,0.0,1,4.0,4,0,0.0,5.0,0,0.0,0,2,0
3,0,2,0,0,3,0,1,0.0,1,1,1,0,2.0,2,2,3.0,0.0,1,2.0,4,1,0.0,3.0,1,0.0,1,3,0
3,1,1,0,0,3,0,0,5.0,0,1,0,0,5.0,4,3,5.0,2.0,1,4.0,5,0,5.0,3.0,1,5.0,1,2,0
2,0,2,1,1,3,1,0,2.0,0,1,0,1,5.0,4,4,5.0,5.0,0,2.0,4,1,5.0,5.0,1,5.0,1,3,1
4,1,2,0,0,2,0,1,0.0,0,1,1,0,4.0,2,2,3.0,0.0,1,2.0,2,0,0.0,3.0,1,0.0,1,2,0
4,1,3,0,0,1,0,1,3.0,1,0,1,0,4.0,2,2,2.0,2.0,1,1.0,1,0,4.0,5.0,0,5.0,1,2,0
4,1,2,0,0,5,0,1,5.0,0,0,1,0,5.0,5,5,5.0,5.0,1,5.0,5,1,5.0,5.0,1,5.0,1,2,0
3,0,3,1,1,4,1,0,4.0,1,0,1,0,5.0,5,5,5.0,3.0,0,5.0,5,0,4.0,4.0,1,3.0,1,2,1
3,1,1,0,0,3,0,1,4.0,1,0,0,0,2.0,4,3,4.0,2.0,1,2.0,4,0,2.0,3.0,0,2.0,0,2,0
2,0,2,1,1,2,1,0,2.0,0,0,1,1,3.0,4,3,3.0,3.0,0,2.0,3,1,2.0,4.0,1,3.0,1,2,1
3,0,1,1,1,4,1,0,4.0,1,0,1,0,5.0,5,4,2.0,4.0,0,3.0,5,0,5.0,4.0,1,4.0,1,2,1
3,0,2,1,1,3,1,1,0.0,1,1,1,1,3.0,3,4,2.0,0.0,0,3.0,2,1,0.0,4.0,0,0.0,1,3,1
4,1,2,0,0,4,0,1,1.0,0,0,0,0,3.0,3,3,1.0,2.0,1,1.0,5,1,5.0,4.0,0,5.0,1,2,0
5,1,1,0,0,3,0,1,4.0,1,0,1,0,5.0,3,2,3.0,2.0,1,2.0,5,0,3.0,4.0,1,5.0,1,2,0
1,0,1,1,1,3,0,1,5.0,0,0,1,1,3.0,5,2,5.0,5.0,0,4.0,3,1,5.0,5.0,0,5.0,0,3,1
4,1,2,0,0,2,0,0,4.0,1,1,1,0,5.0,2,2,4.0,3.0,1,2.0,2,0,5.0,4.0,0,4.0,0,2,0
4,1,2,0,0,2,0,1,0.0,0,0,1,1,5.0,4,4,4.0,0.0,0,4.0,5,1,0.0,5.0,1,0.0,1,3,0
5,1,2,0,0,4,0,0,5.0,1,0,1,0,3.0,5,5,2.0,4.0,1,2.0,5,1,5.0,4.0,1,4.0,1,3,0
5,1,1,0,0,4,1,0,4.0,1,1,1,0,3.0,4,4,3.0,4.0,1,2.0,4,0,4.0,3.0,0,2.0,1,2,0
1,1,1,1,0,4,1,0,2.0,1,1,1,0,3.0,4,4,2.0,4.0,0,2.0,4,1,5.0,4.0,1,4.0,1,3,0
5,1,3,0,0,3,0,1,3.0,1,0,1,0,4.0,3,3,3.0,3.0,1,2.0,3,1,3.0,4.0,1,3.0,1,2,0
5,1,1,0,0,5,0,1,4.0,1,0,0,0,4.0,4,4,4.0,3.0,1,1.0,4,0,4.0,5.0,1,4.0,1,2,0
5,1,2,0,0,2,0,0,2.0,0,0,1,0,2.0,2,2,2.0,2.0,1,3.0,2,0,2.0,1.0,0,4.0,1,1,0
5,1,1,0,0,2,0,1,3.0,1,0,1,0,3.0,2,2,3.0,3.0,0,4.0,2,1,3.0,3.0,1,2.0,1,1,0
2,0,1,1,1,5,1,0,5.0,1,0,0,0,5.0,5,5,5.0,4.0,0,5.0,5,0,3.0,4.0,1,3.0,1,2,1
2,1,2,0,0,1,0,1,2.0,1,1,1,0,3.0,2,4,3.0,2.0,1,1.0,2,1,4.0,2.0,1,4.0,1,3,0
5,1,2,0,0,3,0,1,5.0,0,0,1,0,5.0,4,4,3.0,5.0,1,2.0,4,1,5.0,3.0,1,5.0,1,3,0
5,1,1,0,0,3,0,1,4.0,1,1,1,0,5.0,3,3,4.0,3.0,1,3.0,3,0,4.0,3.0,0,3.0,0,2,0
1,0,2,0,1,5,1,1,0.0,1,0,0,0,1.0,5,5,1.0,0.0,0,1.0,2,0,0.0,5.0,0,0.0,1,2,1
2,1,1,1,0,5,0,0,2.0,1,0,1,0,1.0,4,4,2.0,2.0,0,1.0,5,1,2.0,2.0,1,5.0,1,2,1
3,1,1,0,0,2,0,1,2.0,1,1,1,0,4.0,3,2,4.0,2.0,1,3.0,2,0,4.0,5.0,1,3.0,0,2,0
0,0,2,1,1,5,1,1,3.0,1,1,0,0,3.0,4,4,3.0,3.0,0,2.0,4,1,4.0,2.0,0,3.0,1,2,1
4,1,1,0,0,2,0,1,5.0,1,0,0,0,5.0,2,1,5.0,5.0,1,5.0,2,1,5.0,5.0,0,2.0,0,3,0
0,0,2,1,1,2,1,1,3.0,0,1,1,0,4.0,2,2,2.0,4.0,0,1.0,5,0,3.0,4.0,1,3.0,1,2,1
3,0,1,1,0,3,1,1,3.0,1,0,1,0,5.0,3,3,3.0,3.0,0,2.0,3,0,3.0,4.0,0,3.0,0,2,1
3,1,1,0,0,3,0,1,4.0,0,0,1,0,5.0,2,2,5.0,4.0,1,2.0,4,0,4.0,3.0,1,4.0,1,2,0
2,0,1,1,1,5,0,0,5.0,0,0,0,0,5.0,5,5,5.0,5.0,0,5.0,5,1,5.0,5.0,0,5.0,1,2,1
5,1,1,1,0,3,1,1,4.0,0,0,1,1,2.0,3,3,3.0,2.0,0,3.0,3,0,3.0,4.0,0,3.0,0,1,1
5,1,1,0,0,2,0,1,5.0,0,1,0,0,0.0,3,3,0.0,3.0,1,0.0,3,1,3.0,0.0,1,2.0,0,2,0
2,1,2,0,0,2,0,1,3.0,0,1,0,0,4.0,2,2,4.0,2.0,1,4.0,2,0,3.0,3.0,0,4.0,1,1,0
5,0,1,1,1,4,0,1,5.0,1,1,1,0,4.0,4,4,5.0,4.0,0,5.0,4,1,4.0,5.0,1,2.0,1,3,0
4,1,2,0,0,1,1,1,0.0,1,0,1,0,3.0,1,1,3.0,0.0,1,3.0,1,0,0.0,3.0,0,0.0,1,2,0
1,0,1,1,1,5,0,0,2.0,0,0,0,0,4.0,4,4,2.0,4.0,0,2.0,2,1,4.0,4.0,0,2.0,0,3,1
5,1,3,0,0,3,0,1,0.0,1,0,0,0,5.0,3,3,5.0,0.0,1,5.0,3,0,0.0,5.0,1,0.0,1,2,0
3,0,1,0,0,4,1,0,3.0,1,0,0,0,0.0,3,5,0.0,4.0,1,0.0,2,0,2.0,0.0,0,2.0,0,2,1
3,1,2,1,0,2,1,1,0.0,0,0,0,0,5.0,2,2,5.0,0.0,0,3.0,3,1,0.0,5.0,0,0.0,0,3,0
5,1,2,0,0,5,0,1,5.0,1,0,1,0,5.0,5,5,5.0,4.0,1,3.0,5,0,4.0,5.0,0,3.0,1,1,0
2,1,2,0,0,3,1,0,5.0,1,0,1,0,5.0,4,4,3.0,5.0,1,2.0,3,0,5.0,5.0,0,5.0,0,2,0
3,0,2,1,1,5,1,0,0.0,1,1,0,0,5.0,5,4,4.0,0.0,0,2.0,5,1,0.0,5.0,1,0.0,0,3,1
3,1,2,0,0,2,1,1,2.0,1,0,1,0,4.0,3,2,2.0,5.0,1,3.0,3,0,4.0,4.0,1,4.0,1,2,0
5,1,3,0,0,1,0,1,0.0,1,0,0,0,4.0,1,1,3.0,0.0,1,1.0,1,1,0.0,2.0,1,0.0,1,2,0
2,0,1,1,1,5,1,0,5.0,0,1,1,0,5.0,2,2,5.0,2.0,0,2.0,5,1,4.0,4.0,1,4.0,1,3,0
2,1,2,0,0,2,0,1,4.0,1,0,1,0,4.0,2,4,4.0,2.0,1,2.0,2,0,4.0,4.0,1,3.0,1,2,0
3,1,2,0,0,2,0,1,0.0,0,0,1,0,3.0,2,2,1.0,0.0,1,1.0,4,1,0.0,5.0,1,0.0,1,2,0
4,1,2,1,0,5,0,1,5.0,1,0,0,0,5.0,1,1,5.0,5.0,0,4.0,5,1,5.0,5.0,1,3.0,0,3,0
4,1,1,0,0,1,0,1,5.0,1,0,1,0,5.0,1,5,5.0,5.0,1,4.0,1,1,5.0,3.0,0,3.0,0,3,0
5,1,1,0,0,2,0,1,4.0,1,1,0,0,2.0,3,3,5.0,3.0,1,3.0,2,0,3.0,2.0,0,2.0,0,2,0
1,1,3,0,0,5,0,1,0.0,1,1,1,0,5.0,5,5,5.0,0.0,1,5.0,5,0,0.0,5.0,0,0.0,0,1,0
4,0,1,1,1,5,1,0,3.0,0,0,1,0,5.0,4,4,4.0,4.0,0,1.0,5,1,5.0,4.0,0,3.0,0,2,1
4,1,1,0,0,3,0,1,0.0,1,1,1,0,0.0,3,3,0.0,0.0,0,0.0,3,0,0.0,0.0,0,0.0,0,2,0
2,0,1,1,1,4,1,0,0.0,0,1,1,1,5.0,4,5,4.0,0.0,0,4.0,4,1,0.0,5.0,0,0.0,1,3,1
4,1,2,0,0,5,1,0,5.0,0,1,1,0,5.0,5,5,5.0,5.0,1,3.0,5,1,5.0,5.0,1,4.0,1,3,0
2,0,1,1,1,5,0,0,5.0,1,1,0,1,5.0,5,5,5.0,5.0,0,5.0,5,1,5.0,5.0,1,3.0,1,3,1
4,1,4,1,0,5,1,1,5.0,1,1,1,0,5.0,5,5,5.0,4.0,0,5.0,5,0,5.0,5.0,1,4.0,1,2,0
5,1,3,0,0,5,0,1,5.0,1,0,1,0,4.0,3,4,5.0,4.0,1,3.0,4,1,5.0,5.0,1,3.0,1,3,0
3,1,2,1,0,2,0,1,5.0,0,0,1,0,5.0,3,3,5.0,4.0,0,3.0,2,0,4.0,3.0,1,4.0,1,2,0
5,1,2,0,0,1,0,1,4.0,1,0,0,0,4.0,1,1,4.0,5.0,1,4.0,1,0,4.0,4.0,1,4.0,1,2,0
2,1,1,0,0,2,0,1,5.0,1,0,1,0,4.0,2,2,5.0,4.0,1,2.0,5,1,5.0,3.0,1,5.0,1,3,0
3,0,1,1,0,5,0,0,5.0,1,1,0,0,3.0,5,5,5.0,5.0,0,5.0,5,0,5.0,5.0,0,5.0,1,2,0
